Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
0.42937532,0.001246537,0.42934415,-0.002232129,0.002272187,8563.95043373108
0.42935195,0.0012464098,0.4294039,-0.002232155,0.002271394,8565.53327202797
0.42932597,0.0012464098,0.42931688,-0.002232194,0.002270303,8567.12293767929
0.42940909,0.0012464352,0.42942598,-0.002231271,0.002268886,8568.709869384766
0.42940909,0.0012464861,0.42942078,-0.002231167,0.002267548,8570.306006193161
0.4294039,0.0012465115,0.42938571,-0.002230686,0.002265742,8571.907569646835
0.42943117,0.0012464352,0.42938052,-0.002230153,0.002264871,8573.488137960434
0.42933376,0.0012465624,0.42937013,-0.002229621,0.002262948,8575.093122720718
0.42936623,0.0012464606,0.42934545,-0.002229088,0.002262233,8576.681743621826
0.42941299,0.0012463843,0.42942338,-0.002228633,0.002260167,8578.283415555954
0.42941039,0.0012463843,0.42934026,-0.0022281,0.002258998,8579.883003473282
0.42939481,0.0012463843,0.42938701,-0.002227321,0.002257504,8581.45723438263
0.42941559,0.0012465624,0.42942858,-0.002227308,0.002255905,8583.04151058197
0.42939481,0.0012463843,0.42939351,-0.00222684,0.002254463,8584.63514471054
0.42936493,0.0012463335,0.42939481,-0.002226905,0.002253372,8586.231414079666
0.42932727,0.0012464352,0.42935325,-0.002226476,0.002251656,8587.833552122116
0.42938831,0.0012465115,0.42942208,-0.002226229,0.002249512,8589.430737257004
0.42939221,0.0012462826,0.42934415,-0.002225801,0.002248512,8591.035706043243
0.42935974,0.0012463589,0.42933896,-0.002225891,0.002246719,8592.624287605286
0.42938442,0.001246537,0.42938052,-0.002225255,0.002245419,8594.210993528366
0.42937532,0.0012465624,0.42934415,-0.002225086,0.002244588,8595.798366069794
0.42938571,0.0012463589,0.42937922,-0.002224605,0.002243067,8597.396109819412
0.42933117,0.0012463589,0.42936753,-0.002225138,0.002241781,8598.995433807373
0.42939351,0.0012465624,0.4294013,-0.002224345,0.002240313,8600.59775352478
0.42936883,0.0012464098,0.42938052,-0.002224696,0.002238896,8602.20473074913
0.42936234,0.0012464606,0.42938442,-0.002223955,0.002237922,8603.809379816055
0.42931038,0.0012466641,0.42939481,-0.002224189,0.002237194,8605.401694059372
0.42941429,0.0012464861,0.42940909,-0.002223825,0.002236259,8606.991621732712
0.42938442,0.0012464352,0.42938961,-0.002223345,0.002235089,8608.58373761177
0.42935454,0.0012465624,0.42940779,-0.002223215,0.002234297,8610.185708999634
0.42934415,0.0012465624,0.42936234,-0.00222302,0.002233738,8611.785536527634
0.42941689,0.0012465624,0.42939221,-0.002222643,0.002233504,8613.390460014343
0.4294026,0.0012464352,0.42936364,-0.002222539,0.002232581,8614.978655815125
0.42938312,0.0012465115,0.42944286,-0.002221967,0.002231945,8616.577939987183
0.42937922,0.0012465878,0.42941559,-0.002222097,0.002231542,8618.175637245178
0.42937273,0.0012466896,0.4294,-0.002221461,0.002231568,8619.779668331146
0.42945975,0.0012467913,0.42943247,-0.002221123,0.002230723,8621.359499692917
0.42942858,0.0012467404,0.42940779,-0.002220148,0.002230411,8622.951358318329
0.42947403,0.0012465624,0.42946494,-0.002220018,0.0022311,8624.540073156357
0.42940779,0.0012466896,0.42943507,-0.00222007,0.002231126,8626.126814842224
0.42946105,0.0012466387,0.42946234,-0.002218745,0.002231841,8627.732595205307
0.42943117,0.0012465624,0.42941818,-0.002218745,0.002232672,8629.341960191727
0.4294039,0.0012466133,0.42942468,-0.002218563,0.002233335,8630.941366434097
