Cell_voltage,Current,Supply_voltage,TEG1,TEG2,Time
-0.002779636,-8.1373e-06,-0.002795442,0.00171447,-0.001364886,8513.925145864487
-0.002834828,-7.9382e-06,-0.002798756,0.001715222,-0.001364427,8515.715130329132
-0.002772498,-8.0626e-06,-0.002792128,0.001714635,-0.001364478,8517.494088888168
-0.002806659,-8.0377e-06,-0.002779636,0.001714648,-0.001364529,8519.272339344025
-0.002783205,-7.8635e-06,-0.002776959,0.001714495,-0.001364593,8521.049739837646
-0.002815581,-8.0875e-06,-0.002843624,0.001715005,-0.001364401,8522.831145048141
-0.002832279,-7.9382e-06,-0.00277543,0.001714674,-0.001364644,8524.604616641998
-0.002804364,-8.187e-06,-0.002818003,0.001714406,-0.001364185,8526.380649089813
-0.002850889,-8.187e-06,-0.002881353,0.001714814,-0.001364325,8528.168825387955
-0.0028644,-8.3115e-06,-0.002830622,0.001714648,-0.001364401,8529.97152709961
-0.002808443,-7.9631e-06,-0.002849614,0.001714839,-0.001364057,8531.75917506218
-0.002807168,-7.988e-06,-0.002810865,0.001714878,-0.001364045,8533.544496059418
-0.002794294,-7.9631e-06,-0.0027377,0.001714508,-0.001363981,8535.340817451477
-0.002770331,-8.1124e-06,-0.002782568,0.001714521,-0.00136393,8537.114608287811
-0.002825778,-7.9382e-06,-0.002847957,0.001714878,-0.001364121,8538.891409397125
-0.002795952,-8.1622e-06,-0.002787794,0.001714763,-0.00136393,8540.682628393173
-0.002782695,-8.0626e-06,-0.002794294,0.001714814,-0.001364529,8542.46264386177
-0.002873323,-7.988e-06,-0.002842349,0.001714406,-0.00136407,8544.25928068161
-0.002809208,-8.0377e-06,-0.002822209,0.001714253,-0.001364057,8546.037310361862
-0.002852546,-7.988e-06,-0.002838397,0.001714291,-0.001364019,8547.812775373459
-0.002825014,-8.0377e-06,-0.002826671,0.001714878,-0.00136407,8549.593649625778
-0.0028101,-8.0875e-06,-0.002830877,0.001714674,-0.001363828,8551.37429690361
-0.002822082,-8.1124e-06,-0.002825906,0.001714635,-0.001364147,8553.160559654236
-0.002823357,-8.0875e-06,-0.0028644,0.001714737,-0.00136393,8554.949620008469
